car_model,price,year_model,kms
Chevrolet Spark 1.2 Gt M300,$28.500.000,2013,127.530
Chevrolet Spark Gt Ltz 2015 ,$31.900.000,2015,92.000
Chevrolet Spark GT 1.2 Lt,$37.500.000,2019,54.000
Chevrolet Spark Gt Active Mod 2020 ,$44.900.000,2020,43.205
Chevrolet Spark Gt Full Equipo,$32.900.000,2015,77.000
Chevrolet Spark 1.2 Gt M300 Lt,$32.500.000,2015,127.977
Chevrolet Spark 1.2 Gt Ltz,$31.900.000,2015,110.700
Chevrolet Spark 1.0 Life,$23.900.000,2015,105.000
Chevrolet Spark Gt Ltz,$34.500.000,2015,75.100
Chevrolet Spark 1.0 Lt M200,$27.990.000,2012,161.400
Chevrolet Spark Gt Ltz Mt 1.2 2016,$31.800.000,2016,102.500
Chevrolet Spark GT 1.2 Lt,$37.500.0003% OFF,2021,59.600
Chevrolet Spark Life 1000icc Mt Aa Ab,$28.800.000,2017,42.000
Chevrolet Spark Gt Mt 1.2cc 2016,$33.000.000,2016,87.000
Chevrolet Spark 1.0 Life,$27.900.000,2017,45.320
Chevrolet Spark Gt 1.2 Premier,$38.300.000,2019,52.000
Chevrolet Spark 2012 ,$21.500.000,2012,110.000
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica,$40.700.000,2017,91.073
Chevrolet Spark 1.0 Life,$26.000.000,2017,118.039
Chevrolet Spark 1.0 Life,$26.500.000,2016,97.700
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica,$37.000.000,2017,64.137
Chevrolet Spark Gt Spark Gt Aa,$29.500.000,2013,66.000
Chevrolet Spark Gt Gt,$26.900.000,2012,108.500
Chevrolet Spark 1.0 Life,$24.900.000,2016,78.900
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica,$31.600.000,2017,123.500
Chevrolet Spark 1.2 Gtx M300,$26.500.000,2012,121.000
Chevrolet Spark 1.0 Lt M200,$21.800.000,2013,111.000
Chevrolet Spark 1.0 7:24 Cronos,$19.500.000,2012,150.300
Chevrolet Spark Gt Mod 2017,$33.500.000,2017,78.000
Chevrolet Spark 1.0 Life,$26.000.000,2017,88.833
Chevrolet Spark 1.2 Gt M300 Lt,$31.800.000,2015,46.000
Chevrolet Spark 1.2 Gt M300 Ltz,$34.500.000,2016,83.036
Chevrolet Spark Life 2019,$32.800.000,2019,70.000
Chevrolet Spark 1.0 Go,$25.000.000,2011,14.300
Chevrolet Spark Gt Ltz,$35.000.000,2015,97.000
Chevrolet Spark 1.0 Life,$28.900.000,2017,99.980
Chevrolet Spark LIFE,$26.900.000,2017,88.000
Chevrolet Spark Gt  1200cc Mt Aa,$35.000.000,2017,86.000
Chevrolet Spark Life 2018,$31.800.000,2018,33.060
Chevrolet Spark Life  1000cc Mt Aa,$29.500.000,2019,53.500
Chevrolet Spark 1.2 Gt Lt Mt 2015,$28.900.000,2015,125.700
Chevrolet Spark 1.2 Gt M300 Lt,$30.500.000,2017,118.104
Chevrolet Spark LIFE,$25.400.000,2015,72.000
Chevrolet Spark Gt Active,$41.000.000,2019,52.000
Chevrolet Spark Gt 1.2 Ltz Mt 2015,$31.900.000,2015,112.000
Chevrolet Spark LIFE,$24.400.000,2015,80.000
Chevrolet Spark Gt Ltz,$38.000.000,2017,68.000
Chevrolet Spark GT 1.2 Ls,$35.000.000,2019,75.985
Chevrolet Spark GT 1.2 Active,$41.900.000,2020,67.000
Chevrolet Spark LIFE,$26.900.000,2017,85.000
Chevrolet Spark 1.0 Life,$29.500.000,2019,40.900
Chevrolet Spark GT 1.2 Ls Mt 2020,$38.900.000,2020,48.000
Chevrolet Spark 1.0l,$36.000.000,2018,87.417
Chevrolet Spark Gt ,$26.900.000,2012,95.000
Chevrolet Spark LIFE,$24.400.000,2015,92.000
Chevrolet Spark 1.2 Gt M300 Ltz,$32.000.000,2016,138.000
Chevrolet Spark Gt Ltz,$28.900.000,2014,147.000
Chevrolet Spark GT 1.2 Ls,$38.500.000,2020,48.700
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica,$36.500.000,2017,87.000
Chevrolet Spark 1.2 Gt M300 Ltz,$33.000.000,2015,89.220
Chevrolet Spark GT 1.2 Ls,$36.900.000,2019,86.800
Chevrolet Spark 1.2 Gt Lt,$36.500.000,2018,59.000
Chevrolet Spark Modelo 2021,,0,0
Chevrolet Spark Gt 2016,$30.900.000,2016,143.600
Chevrolet  Spark Lt  2013,$25.800.000,2013,88.000
Chevrolet Spark Gt Lt Mt 1.2 Cc 2015,$29.900.000,2015,108.500
Chevrolet Spark GO 1.0 MT AA DH,$22.900.000,2009,137.000
Chevrolet Spark 1.0 Life,$27.300.000,2017,88.300
Chevrolet Spark 1.2 Gt Lt,$38.900.000,2020,40.000
Chevrolet Spark 1.2 Gt M300 Lt,$31.500.000,2015,122.000
Chevrolet Spark Gt Ltz 1.2 Mecanico Modelo 2015,$36.900.000,2015,94.934
Chevrolet Spark 1.2 Ltz Mecanico,$37.900.000,2017,88.235
Chevrolet Spark 1.0 Life,$32.999.000,2019,42.000
Chevrolet Spark GT 1.2,$42.000.000,2020,50.000
Chevrolet Spark Gt Spark Gt Ltz,$34.200.000,2017,108.000
Chevrolet Spark GT 1.2 Lt,$34.700.000,2019,64.000
Chevrolet Spark 1.0 Life,$28.500.000,2017,79.000
Chevrolet Spark 1.2 Gt M300 Lt,$33.900.000,2017,131.000
Chevrolet Spark GT 1.2 Lt,$35.490.000,2018,80.000
Chevrolet Spark Gt Ltz,$33.500.000,2016,105.232
Chevrolet Spark GT LTZ PREMIER,$38.900.000,2020,55.000
Chevrolet Spark 1.0 Life,$27.400.000,2018,78.000
Chevrolet Spark 1.0 Go,$22.000.000,2012,126.000
Chevrolet Spark Gt Ltz 1.2 Mecanico,$37.900.000,2016,97.555
Chevrolet Spark 1.0 Lt M200,$21.500.000,2014,97.200
Chevrolet Spark 1.2 Gt M300 Ltz,$29.500.000,2014,127.500
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica,$37.900.000,2017,113.372
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica,$40.900.000,2017,87.000
Chevrolet Spark 1.2 Gt M300,$27.500.000,2013,103.000
Chevrolet Spark Gt Activ Cc1200 Mecanico 80 Hp,$41.500.000,2019,14.700
Chevrolet Spark Gt ,$29.800.000,2015,88.000
Chevrolet Spark 1.2 Gt Lt,$38.900.000,2020,49.000
"Chevrolet Spark 1,2 GT LTZ",$29.800.000,2014,88.000
Chevrolet Spark GT 1.2 Ltz,$37.800.000,2020,49.000
Chevrolet Spark Gt 1.2 Ltz Mt 2017,$36.500.000,2017,86.000
Chevrolet Spark GT 1.2 Ls,$38.900.000,2020,35.000
Chevrolet Spark GT 1.2 Ltz,$38.900.000,2019,68.000
Chevrolet Spark 1.2 Gt M300 Ltz,$35.000.000,2015,97.000
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica,$38.000.000,2017,68.000
Chevrolet Spark Gt Active 1.2l Hb Mt,$41.000.000,2019,52.800
Chevrolet Spark GT 1.2 Ls,$37.900.000,2020,74.000
Chevrolet Spark  Gt Ltz 2016,$37.500.000,2016,66.700
Chevrolet Spark 1.2 Gt Ltz,$36.500.000,2018,54.000
Chevrolet Spark Gt Versión Ltz,$27.900.000,2012,118.000
Chevrolet Spark 1.0 Life,$24.000.000,2016,76.000
Chevrolet Spark 1.0,$23.500.000,2013,90.595
Chevrolet Spark 1.0 Life Lujo,$24.900.000,2016,96.000
Chevrolet Spark Gt Lt Full 1.2 2013,$27.900.000,2013,138.000
Chevrolet Spark 1.0 Lt M200,$25.900.000,2012,80.000
Chevrolet Spark 1.2 Gt Ltz,$39.800.000,2019,85.000
Chevrolet,$24.500.000,2013,76.600
Chevrolet Spark Gt Ltz,$28.000.000,2013,94.700
Chevrolet Spark Gt Ltz,$32.800.000,2016,92.000
Chevrolet Spark 1.2 Gt M300 Ltz,$34.500.000,2016,41.000
Chevrolet Spark 1.2 Gt M300,$29.900.000,2013,60.000
Chevrolet Spark 1.0 Lt M200,$21.900.000,2011,132.000
Chevrolet Spark Gt Ltz,,0,0
Chevrolet Spark GT 1.2 Lt,$34.900.000,2018,73.000
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica,$32.900.000,2017,77.000
Chevrolet Spark Gt Ltz 2015 ,$32.000.000,2015,154.000
Chevrolet Spark 1.0 Lt,$19.500.000,2009,805.689
Chevrolet Spark GT 1.2 Ltz,$36.800.000,2020,37.580
Chevrolet Spark 1.0 Mt,$19.000.000,2010,108.000
Chevrolet Spark 1.2 Gt Lt,$45.800.000,2022,14.377
Chevrolet Spark GT 1.2 Ltz,$36.900.000,2018,65.000
Chevrolet Spark 1.2 Gt M300,$28.000.000,2013,136.000
Chevrolet Spark 1.2 Gt M300 Lt,$30.900.000,2014,80.835
Chevrolet Spark GT 1.2 Lt,$37.900.000,2019,90.500
Chevrolet Spark Gt 1.000 Full Equipo,$25.990.000,2011,95.000
Chevrolet Spark GT 1.2 Ls,$39.500.000,2020,57.200
Chevrolet Spark GT 1.2 Ltz,$36.700.000,2018,70.500
Chevrolet Spark Gt Lt,$27.900.000,2012,103.000
Chevrolet Spark GT 1.2 Ls,$31.950.000,2019,74.000
Chevrolet Spark Gt Gt Ltz,$34.900.000,2015,117.000
Chevrolet Spark 1.0 Life,$28.900.000,2017,69.899
Chevrolet Spark 1.2 Gt M300,$29.000.000,2014,99.800
Chevrolet Spark Gt Gt,$27.500.000,2013,125.000
Chevrolet Spark Gt Blindado 2 Plus ,$54.000.000,2015,78.000
Chevrolet Spark Gt Ltz 2017 Mt 1200 Tela,,0,0
Chevrolet Spark Gt M300 Mt 2014 ,,0,0
Chevrolet Spark 1.2 Gt M300 Ltz,$28.900.000,2014,137.000
Chevrolet Spark Gt 2017,$32.999.999,2017,54.000
Chevrolet Spark 1.0 Go,$26.500.000,2013,79.950
Chevrolet Spark 1.0 Life,$26.900.000,2017,92.400
"Chevrolet Spark Gt 1.2.lt, Mecánico",$34.900.000,2018,75.000
Chevrolet Spark 1.0 Lt M200,$19.900.000,2009,150.000
Chevrolet Spark 1.0 7:24 Cronos,$19.900.000,2010,145.000
Chevrolet Spark 1.0 Lt M200,$17.000.000,2007,136.000
Chevrolet Spark 1.0 Life,$28.000.000,2018,72.000
Chevrolet Spark Gt Ltz 2013,$25.500.000,2013,98.000
Chevrolet Spark 1.2 Gt M300 Ltz,$32.800.000,2014,107.600
Chevrolet Spark 1.0 7:24 Cronos,$22.900.000,2013,119.000
Chevrolet Spark 1.2 Gt Ls,$41.900.000,2019,24.000
Chevrolet Spark GT 1.2 Ls,$38.500.000,2020,48.000
Chevrolet Spark Gt Lt ,$33.000.000,2016,105.140
Chevrolet Spark 1.2 Gt M300,$29.000.000,2012,84.000
Chevrolet Spark 1.2 Gt M300,$27.900.000,2013,146.814
Chevrolet Spark Gt Ltz,$36.000.000,2017,77.829
Chevrolet Spark Lt,$37.800.000,2019,63.000
Chevrolet Spark 1.0 Lt M200,$17.900.000,2009,120.000
Chevrolet Spark 1.0 Life,$27.500.000,2018,70.000
Chevrolet Spark 1.2 Gt M300,$28.500.000,2012,94.700
Chevrolet Spark 1.0 Life,$26.990.000,2016,90.000
Chevrolet Spark Gt 2015,$30.000.000,2015,125.000
Chevrolet Spark 1.2 Gt M300 Ltz,$32.900.000,2016,100.000
Chevrolet Spark 1.2 Gt M300 Lt,$30.000.000,2014,108.357
Chevrolet Spark 1.0 Life,$26.800.000,2017,92.000
Chevrolet Spark 1.0 Life,$27.400.000,2018,70.000
Chevrolet Spark 1.0l,$26.800.000,2016,46.000
Chevrolet Spark 1.0 Lt M200,$22.400.000,2014,88.000
Chevrolet Spark Gt Mecánico ,$32.000.000,2015,61.800
Chevrolet Spark 1.2 Gt Ls,$39.800.000,2020,49.000
Chevrolet Spark GT 1.2 Ls,$33.500.000,2019,68.000
Chevrolet Spark 1.2 Gt M300 Ltz,$32.000.000,2014,97.000
Chevrolet Spark GT 1.2 Lt,$39.000.000,2020,50.000
Chevrolet Spark GT 1.2 Ls,$39.990.000,2020,71.000
Chevrolet Spark 1.2 Gt M300 Ltz,$31.800.000,2016,78.000
Chevrolet Spark 1.0 Life,$26.800.000,2015,79.000
Chevrolet Spark Gt Mod 2016 Full Equipo Pantalla Luces Led,$34.800.000,2016,42.000
Chevrolet Spark Gt Ltz Mod 2017 Doble Airbag Y Abs Pantalla,$35.800.000,2017,44.000
Chevrolet Spark 1.0 Life,$27.000.000,2019,94.000
Chevrolet Spark 1.2 Gt M300,$27.000.000,2012,136.439
Chevrolet Spark Gt Lt,$24.500.000,2011,118.000
Chevrolet Spark Gt Ltz,$32.500.000,2016,80.000
Chevrolet Spark Gt Ltz,$28.900.000,2014,100.000
Chevrolet Spark Spark 1.0cc 2010 ,$18.500.000,2010,160.000
Chevrolet Spark 1.0 Life,$22.700.000,2016,99.146
Chevrolet Spark 1.2 Gt M300,$29.500.000,2013,97.300
Chevrolet Spark 1.0 Life,$29.800.000,2019,75.000
"Chevrolet Spark 1.0,go,mecánico",$16.400.000,2008,142.000
Chevrolet Spark Gt 2013 Gris Oscuro,$28.900.000,2013,87.000
Chevrolet Spark 1.2 Gt Lt,$34.800.000,2020,103.000
Chevrolet Spark Gt Gt Full Equipo,$30.900.000,2013,59.000
 ,0,0,0
Chevrolet Spark 1.2 Gt M300 Lt,$35.000.000,2017,63.800
Chevrolet,$39.990.000,2020,56.000
Chevrolet Spark 1.0 Go,$21.000.000,2011,71.200
Chevrolet Spark Gt Ltz,$31.500.000,2015,130.000
Chevrolet  Spark  Gt  Ltz   2016,$36.700.000,2016,60.870
Chevrolet Spark 1.0 7:24 Cronos,$18.500.000,2010,154.321
Chevrolet Spark GT 1.2 Ls,$38.700.000,2020,32.000
Chevrolet Spark 1.0 Lt M200,$19.800.000,2011,119.200
Chevrolet Spark Gt,$32.000.000,2015,63.200
Chevrolet Spark 1.2 Gt M300,$29.900.000,2014,145.000
Taxi Chevrolet Modelo 2010 Para Reparar,$62.000.000,2010,890.600
Suzuki Alto 0.8 Std,$23.000.000,2017,102.000
Chevrolet Spark 1.0 7:24 Cronos,$19.800.000,2012,110.000
Chevrolet Spark 1.0 Lt M200,$20.750.000,2014,90.480
Chevrolet Spark 1.2 Gt M300 Lt,$32.500.000,2017,179.367
Chevrolet Spark 1.0 2011,$19.800.000,2011,130.000
"Chvrolet Spark 2017, 51.000 Km, Semi Nuevo, Papeles Al Día",$33.900.000,2017,51.000
Chevrolet,$32.500.000,2017,78.500
 ,0,0,0
Chevrolet Spark GT 1.2 Lt,$38.500.000,2020,49.000
Chevrolet Spark 1.0 Life,$17.900.000,2013,60.982
Chevrolet Spark GT 1.2 Lt,$37.000.000,2019,99.500
Chevrolet Spark Gt Gt,$25.800.000,2011,115.360
Chevrolet Spark GT 1.2 Ls,$34.900.000,2019,64.500
Chevrolet Spark GT 1.2 Ltz,$36.400.000,2018,86.000
Chevrolet Spark Gt Gt,$36.000.000,2017,55.000
Chevrolet Spark Gt Full Equipo ,$34.500.000,2017,43.300
Chevrolet Spark 1.0 Life,$31.000.000,2019,72.000
Chevrolet Spark 1.0 Ls,$17.000.000,2006,350.000
Chevrolet Spark Gt Ltz,$31.700.000,2015,82.123
Chevrolet Spark GT 1.2 Lt,$42.000.000,2019,21.000
Chevrolet Spark 1.0 Life,$24.900.000,2016,76.000
Chevrolet Spark 1.2 Gt Ltz,$37.000.000,2019,87.980
Chevrolet Spark 2011,$23.300.000,2011,118.600
Chevrolet Spark 1.0 Life,$29.700.000,2018,67.000
Chevrolet Spark 1.0 Lt M200,$18.900.000,2014,118.000
Chevrolet Spark 1.0 Lt M200,$25.000.000,2014,95.000
Chevrolet Spark 1.2 Gt M300,$26.900.000,2013,137.000
Chevrolet Spark GT 1.2 Ltz,$37.000.000,2018,72.000
Chevrolet Spark Gt Ltz,$35.500.000,2017,96.000
Chevrolet Spark Life,$29.700.000,2017,81.000
Chevrolet Spark GT 1.2 Lt,$42.000.000,2020,50.260
Chevrolet Spark 1.0 7:24 Cronos,$16.000.000,2010,111.000
Chevrolet Spark 1.0 Life,$29.990.000,2018,68.500
Chevrolet Spark Gt Rs,$32.000.000,2014,98.600
Chevrolet Spark Spark,$23.500.000,2011,94.200
Chevrolet Spark Gt Chevrolet Spark Gt ,$24.000.000,2011,228.000
Chevrolet Spark 1.2 Gt M300 Lt,$31.000.000,2016,173.000
 Chevrolet Spark Gt 1.2 Mod 2013,$29.550.000,2013,125.000
Chevrolet Spark Gt Spark Gt,$35.000.000,2017,55.000
Chevrolet Spark GT 1.2 Ltz,$34.000.000,2018,86.700
Chevrolet Spark Gt Gt,$30.000.000,2013,133.000
Chevrolet Spark 1.0 Go,$17.500.000,2008,222.600
Chevrolet Spark 1.0 Life,$31.900.000,2019,44.200
Chevrolet Spark Gt Ltz ,$34.000.000,2017,133.000
Chevrolet Spark 1.0 Go,$26.800.000,2013,42.353
Chevrolet Spark Gt 1.2 Gt,$33.500.000,2014,55.079
Chevrolet Spark 2012,$21.900.000,2012,85.300
Chevrolet Spark Spart,$20.000.000,2012,148.500
Chevrolet Spark Gt 1.2,$29.000.000,2013,97.000
Chevrolet Spark GT 1.2 Ltz,$35.000.000,2019,74.000
Chevrolet Spark 1.0 Life,$28.500.000,2018,55.000
Chevrolet Spark Gt Full,$34.500.000,2017,87.000
Chevrolet Spark 1.0 Lt M200,$17.000.000,2007,180.000
Chevrolet Spark GT 1.2 Ltz,$40.000.000,2019,44.435
Chevrolet Spark Gt Spark Gt,$29.000.000,2013,122.000
Chevrolet Spark Gt Ltz Full,$36.000.000,2017,74.500
Chevrolet Spark Life Aire Acondicionado,$28.000.000,2019,67.382
Chevrolet Spark 1.0 7:24 Cronos,$23.200.000,2012,81.900
Chevrolet Spark Gt 28.500.000,$27.500.000,2014,70.000
Chevrolet Spark Gt Ltz,$32.000.000,2016,88.000
