car_model,price,year_model,kms
Chevrolet Spark GT 1.2 Lt,$33.800.000,2018,120.000
Chevrolet Spark Gt Ltz Full,$33.000.000,2016,139.854
Chevrolet Spark Gt Spark Gt Full,$28.500.000,2013,102.080
Chevrolet Spark GT 1.2 Lt,$37.500.000,2019,58.000
Chevrolet Spark 1.0 7:24 Cronos,$16.000.000,2008,170.000
 ,0,0,0
Chevrolet Spark Hatch Back,$22.000.000,2014,111
Chevrolet Spark 1.0,$16.000.000,2007,190.000
Chevrolet Spark Gt Ltz,$27.500.000,2012,178.000
Chevrolet Spark Gt Full Equipo,$32.000.000,2017,92.600
Chevrolet Spark Gt Gt Mt,$27.000.000,2012,105.000
Chevrolet Spark 1.2 Gt M300,$30.000.000,2011,190.000
Chevrolet Spark Iii Usado,$19.000.000,2007,179.300
Chevrolet Spark 1.0 Life,$21.000.000,2015,180.000
Vendo Spark Gt 2012,$29.000.000,2012,130.000
Chevrolet Spark 1.0 Go,$18.500.000,2008,114.000
Chevrolet Spark GT 1.2 Ls,$37.500.000,2019,56.000
Chevrolet Spark GT 1.2 Ltz,$34.500.000,2018,57.000
Chevrolet Spark 1.0 Life,$32.000.000,2018,12.500
Chevrolet Spark 1.0 7:24 Cronos,$19.700.000,2009,164.500
Chevrolet Spark 1.0 7:24 Cronos,$19.800.000,2011,102.000
Chevrolet Spark Spark 2012,$20.000.000,2012,105.000
Chevrolet Spark 1.0 Life,$27.500.000,2017,88.240
Chevrolet Spark GT 1.2 Ltz,$38.000.000,2018,57.000
Chevrolet Spark 1.0 7:24 Cronos,$22.000.000,2011,160.000
Chevrolet Spark 1.0 7:24,$17.000.000,2006,163.000
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica,$35.500.000,2017,89.800
Chevrolet Spark Gt Full Equipo,$38.500.000,2017,60.000
Chevrolet Spark Gt Ltz,$31.000.000,2015,99.400
Chevrolet Spark 1.0,$20.200.000,2012,115.371
Chevrolet Spark 1.0 Life,$20.000.000,2015,120.000
Chevrolet Spark 1.2 Gt Lt,$34.000.000,2019,94.000
Chevrolet Spark Gt Full Equipo,$30.500.000,2015,123.456
Chevrolet Spark Gt Spark Gt Activ,$43.700.000,2022,31.000
Chevrolet Spark 1.0 Lt M200,$21.000.000,2010,128.000
Chevrolet Spark GT 1.2 Ls,$36.000.000,2019,80.000
Chevrolet Spark Gt Ltz Full Equipo,$31.000.000,2015,95.000
Chevrolet Spark 1.0 7:24 Cronos,$52.000.000,2012,680.000
Chevrolet Spark Life Full Equipo,$33.000.000,2019,12.000
Chevrolet Spark 1.0 Life,$25.500.000,2016,63.000
Chevrolet Spark 1.0 7:24 Cronos,$18.500.000,2007,117.000
Chevrolet Spark GT 1.2 Lt,$42.000.000,2021,34.000
Chevrolet Spark 1.2 Gt M300,$26.450.000,2012,93.000
Chevrolet Spark Gt 1.2 Mt Full,$31.000.000,2014,53.000
Chevrolet Spark 1.2 Gt M300,$24.500.000,2011,150.000
Chevrolet  Spark Gt 2015,$31.000.000,2015,104.000
Chevrolet Spark 1.2 Gt M300 Ltz,$29.000.000,2014,161.000
Chevrolet Spark 1.0 Life,$30.000.000,2018,24.100
Chevrolet Spark 1.0 Go,$20.000.000,2011,86.837
Chevrolet Spark 1.2 Gt M300,$28.000.000,2013,150.000
Chevrolet Spark 1.0 7:24,$17.000.000,2008,159.318
Chevrolet Spark 1.0 Go,$21.500.000,2013,131.000
Chevrolet Spark 1.0 Life,$28.500.000,2019,81.000
Chevrolet Spark 1.2 Gt M300,$28.500.000,2013,91.200
Chevrolet Spark 1.0 Go,$18.000.000,2009,160
Chevrolet Spark 1.0 Life,$27.000.000,2018,59.800
Chevrolet Spark 1.2 Gt M300 Ltz,$32.000.000,2014,78.021
Chevrolet Spark 1.0 Lt M200,$20.000.000,2011,91.200
Chevrolet Spark 1.0 7:24 Cronos,$16.300.000,2007,192.000
Chevrolet Spark 1.0 Lt M200,$20.000.000,2012,127.000
Chevrolet Spark 1.2 Gt Lt,$34.000.000,2018,71.300
Chevrolet Spark GT 1.2 Lt,$38.000.000,2019,75.000
Chevrolet Spark Gt M300 1.2l Full Mod 2014,$31.500.000,2014,76.000
Chevrolet Spark 1.0 Lt M200,$29.800.000,2014,72.000
Chevrolet Spark 1.0 Lt M200,$19.000.000,2012,159.000
Chevrolet Spark 1.0 Life,$26.000.000,2017,105.000
Chevrolet Spark 1.0 7:24,$14.500.000,2005,283.000
Chevrolet Spark GT 1.2 Ltz,$43.000.000,2020,31.500
Chevrolet Spark Gt Lt,$24.500.000,2012,220.000
Chevrolet Spark GT 1.2 Lt,$38.000.000,2019,85.000
Chevrolet Spark Gt Negociable,$34.000.000,2017,122.037
Chevrolet 1lt Spark Cronos ,$1.550.000,2007,289.000
Chevrolet Spark Gt Full,$26.800.000,2011,80.000
Chevrolet Spark,$75.000.000,2013,503.500
Spark Chevrolet 2007,$16.500.000,Publicado,7
Chevrolet Spark 1.0 Life,$30.000.000,2019,106.000
Chevrolet Spark 1.0 7:24 Cronos,$85.000.000,2011,318.000
Chevrolet Spark 1.0 Go,$20.500.000,2009,120.000
Chevrolet Spark Gt Chevrolet ,$35.850.500,2017,70.000
Chevrolet Spark Gt Chevrole Spark Gt ,$27.900.000,2011,87.917
Chevrolet Spark Life,$18.900.000,2012,96.500
Chevrolet Spark GT 1.2 Lt,$35.800.000,2018,74.000
Chevrolet Spark 1.0 7:24 Cronos,$19.000.000,2012,192.390
Chevrolet Spark Go,$22.700.000,2011,397.000
Chevrolet Spark GT 1.2 Ltz,$36.000.000,2018,58.600
Chevrolet Spark 1.0 Go,$18.000.000,2007,149.000
Chevrolet Spark 1.0 Go,$22.500.000,2013,180.000
Chevrolet Spark Gt Ltz Full,$28.780.000,2014,131.550
Chevrolet Spark Gt Ltz,$31.300.000,2014,82.000
Chevrolet Spark 1.0 Life,$29.000.000,2018,35.000
Chevrolet Spark 1.0 Ls,$16.000.000,2006,257.000
Chevrolet Spark 1.2 Gt M300,$27.500.000,2013,79.000
Chevrolet Spark 1.2 Gt M300,$28.000.000,2013,140.000
Chevrolet Spark 1.0 7:24,$16.000.000,2007,140.000
Chevrolet Spark 1.0 Life,$25.000.000,2016,59.900
Chevrolet Spark  Spark,$80.000.000,2010,222
Chevrolet Spark 1.0 7:24 Cronos,$23.000.000,2013,129.000
Chevrolet Spark GT 1.2 Ltz,$38.000.000,2019,33.731
Chevrolet Spark GT 1.2 Lt,$34.500.000,2018,55.000
Chevrolet Spark Gt Spartk Gt,$27.500.000,2012,148.000
Chevrolet Spark 1.0 7:24 Cronos,$17.000.000,2009,152.000
Chevrolet Spark GT 1.2 Ls,$37.000.000,2019,82.140
Chevrolet Spark Gt Spark Buen Estado,$31.535.400,2013,18
Chevrolet Spark 2009,$19.000.000,2009,144.805
Chevrolet Spark 1.0 Life,$28.000.000,2019,50
Chevrolet Spark 1.0 Lt M200,$22.000.000,2008,68.000
Chevrolet Spark GT lt,$36.000.000,2019,65.000
Chevrolet Spark 1.0 7:24 Cronos,$19.500.000,2012,131.000
Chevrolet Spark 1.0 7:24 Cronos,$20.000.000,2012,140.000
Chevrolet Spark Gt Ltz,$32.500.000,2016,120.000
Chevrolet Spark GT 1.2 Lt,$40.000.000,2020,38.000
Chevrolet Spark 1.0 Life,$29.000.000,2019,45.000
Chevrolet Spark GT 1.2 Ltz,$36.000.000,2018,54.000
Chevrolet Spark 1.0 Go,$18.900.000,2012,130.000
Chevrolet  Spark,$70.000.000,2019,219.000
Chevrolet Spark GT 1.2 Lt,$33.000.000,2019,73.000
Chevrolet Spark 1.0 Life Lujo,$26.000.000,2016,99.000
Chevrolet Spark 1.0 Go,$17.000.000,2009,167.000
Chevrolet Spark 1.2 Gt Ltz,$44.000.000,2020,47.000
Chevrolet Spark 1.0 Lt M200,$18.000.000,2012,117.000
Chevrolet Spark 1.0l,$31.500.000,2019,45.000
Chevrolet Spark 1.2 Gt Lt,$38.000.000,2019,86.000
Chevrolet Spark 1.0 Go,$19.000.000,2009,93.828
Chevrolet Spark 1.0 Life,$32.000.000,2018,34.000
Chevrolet Spark Gt Spark Gt ,$34.000.000,2017,80.000
Chevrolet Spark GT 1.2 Ltz,$37.000.000,2018,58.000
Chevrolet Spark GT 1.2 Lt,$34.000.000,2018,80.000
Chevrolet Spark 1.0 Life,$27.000.000,2017,44.000
Chevrolet Spark 1.0 Go,$18.700.000,2008,120.000
Chevrolet Spark Gt Spart Gt,$25.000.000,2011,140
Chevrolet Spark Gt Sedan,$26.000.000,2012,158.000
Chevrolet Spark 1.0 Lt M200,$22.000.000,2013,180.000
Chevrolet Spark 1.0 Lt M200,$22.000.000,2014,100.000
Chevrolet Spark 1.2 Gt M300,$26.000.000,2012,170.000
Chevrolet Spark Gt Sencilla,$34.000.000,2016,81.972
Spark Gt 2014,$28.500.000,2014,Publicado
Spark Gt Modelo 2011,$25.800.000,2011,150.000
Chevrolet Spark Cronos,$15.500.000,2007,25.000
Chevrolet Spark Gt M300 Full,$29.900.000,2014,100.600
Chevrolet Spark Gt Ltz Full Equipo ,$32.000.000,2015,116.000
Chevrolet Spark 1.2 Gt M300 Lt,$31.000.000,2014,80.000
Chevrolet Spark 1.0 Life,$25.500.000,2016,206.000
Chevrolet Spark Gt Gt,$33.000.000,2016,188.500
Chevrolet Spark 1.2 Gt M300,$25.000.000,2012,170.000
Chevrolet Spark 1.0 7:24 Cronos,$18.000.000,2011,167.700
Chevrolet Spark 1.0 7:24 Cronos,$12.000.000,2006,300.000
Chevrolet Spark Gt Full Equipo ,$25.900.000,2011,180
Chevrolet Spark Gt Full Equipo,$26.950.000,2013,93.000
Chevrolet Spark Modelo 2008,$19.800.000,2008,166.000
Chevrolet Spark 1.0 Go,$17.900.000,2008,1
"Vendo Hermoso Spark Gt Modelo 2021con 27.000 Kms  Impecable,",$43.500.000,2021,27.000
Chevrolet Spark GT 1.2 Lt,$40.000.000,2019,24.000
Chevrolet Spark 1.0 Go,$19.000.000,2012,150.000
Chevrolet Spark 1.0 Life,$27.000.000,2017,72.300
Chevrolet Spark 1.0 Life,$26.000.000,2016,150.000
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica,$36.900.000,2017,85.000
Chevrolet Spark 1.0l,$31.500.000,2018,89.000
Chevrolet Spark Gt,$34.000.000,2016,35.000
Chevrolet Spark 1.0 Lt M200,$19.000.000,2011,135.000
Chevrolet Spark 1.0 Life Lujo,$22.500.000,2015,130.000
Chevrolet Spark 1.0l,$30.000.000,2018,31.700
Chevrolet Spark 1.2 Gt M300,$28.000.000,2013,102.000
Chevrolet Spark 1.0 7:24 Cronos,$19.000.000,2010,163.800
Chevrolet Spark 1.0 7:24 Cronos,$18.500.000,2012,138.000
Chevrolet Spark Gt Gt,$34.000.000,2017,112.000
Chevrolet Spark 1.0 Go,$21.000.000,2008,650.000
Chevrolet Spark 1.0 Life Lujo,$26.850.000,2015,143.000
Chevrolet Spark 1.0 7:24 Cronos,$21.500.000,2012,96.000
Chevrolet Spark Gt Full,$28.900.000,2014,144.000
Spark Gt Modelo 2013,$26.000.000,2013,157.000
Chevrolet Spark 1.0 Life,$24.450.000,2016,96.000
Chevrolet Spark Gt Spark Gt Ltz,$24.500.000,2012,137.000
Spark Gt 2017,$37.000.000,2017,37.777
Chevrolet Spark 1.0 Life Lujo,$23.500.000,2015,159.000
Chevrolet Spark 1.0 Go,$19.500.000,2012,160
Chevrolet Spark 1.0 Life,$25.500.000,2019,94.500
Chevrolet Spark Gt Ltz,$26.000.000,2011,78
Chevrolet Spark Gt Spark Gt,$33.000.000,2016,54.000
Chevrolet Spark 1.0 Life,$25.000.000,2016,74.000
Chevrolet Spark 1.0 Lt M200,$16.000.000,2011,176.000
Chevrolet Spark Gt Spark Gt 2014,$29.700.000,2014,133.000
Chevrolet Spark 1.0 Lt M200,$19.000.000,2010,150.000
Chevrolet Spark Gt Spark Gt (m300) Ltz,$34.400.000,2016,38.900
Chevrolet Spark Gt Spark Gt ,$26.500.000,2012,150.000
Chevrolet Spark 1.0 7:24 Cronos,$18.800.000,2009,197.000
Chevrolet Spark 2013,$21.000.000,2013,160.000
Chevrolet Spark Gt 1.2 Gr M300ltz,$19.000.000,2011,165.000
Chevrolet Spark 1.0 Lt M200,$21.000.000,2012,110
Chevrolet Spark 1.2 Gt M300,$28.000.000,2013,125.000
Chevrolet Spark 1.0 Ls,$14.700.000,2006,172.000
Chevrolet Spark 1.0,$16.000.000,2007,156.000
Chevrolet Spark 1.2 Gt Lt,$43.000.000,2022,29.000
Chevrolet Spark GT 1.2 Ltz,$39.000.000,2019,49.000
Chevrolet Spark 1.2 Gt Ls,$38.800.000,2019,48.000
Chevrolet Spark Automovil,$16.500.000,2005,19.000
Chevrolet Spark GT 1.2 Ltz,$34.000.000,2018,113.000
Chevrolet Spark 1.0 Life,$31.000.000,2019,35.000
Chevrolet Spark 1.0 Life,$28.900.000,2019,86.000
Chevrolet Spark GT 1.2 Ltz,$42.500.000,2019,77.000
Chevrolet Spark 1.0 Ls,$14.000.000,2006,252.000
Chevrolet Spark 1.0,$23.000.000,2012,126.000
Chevrolet Spark 1.0 Life,$25.000.000,2015,89.900
Chevrolet Spark 1.0 7:24 Cronos,$57.000.000,2007,300.000
Chevrolet Spark Gt Spark Gt 2013,$26.000.000,2013,140.000
Chevrolet Spark 1.2 Gt M300 Ltz,$30.000.000,2016,82.000
Chevrolet Spark 1.0,$18.500.000,2007,137.000
Chevrolet Spark Gt Full,$33.500.000,2015,75.200
Chevrolet Spark 1.0 Life,$27.000.000,2017,70.000
Chevrolet Spark 1.0 Go,$16.000.000,2008,177.000
Chevrolet Spark 1.2 Gt M300 Lt,$34.300.000,2016,98.000
Chevrolet Spark Gt Mecánico,$35.000.000,2017,82.000
Chevrolet Spark Gt Full Equipo,$28.000.000,2012,170.000
Chevrolet Spark Gt Es,$28.000.000,2013,161.000
Vendo Chevrolet Spark Gt 2013,$28.500.000,2013,91.500
Chevrolet Spark 1.0 7:24 Cronos,$21.500.000,2014,190.000
Chevrolet Spark Gt Rs Full Equipo,$33.000.000,2014,111.000
Chevrolet Spark 1.0 7:24 Cronos,$18.500.000,2012,153.000
Chevrolet Spark GT 1.2 Ltz,$100.000.000,2018,71.000
Chevrolet Spark 1.0 Lt M200,$22.000.000,2012,67.100
Chevrolet Spark GT 1.2 Ls,$41.000.000,2020,62.000
Chevrolet Spark 1.0 7:24 Cronos,$22.500.000,2014,108.000
Chevrolet Spark Gt Ltz,$29.950.000,2015,107.000
Chevrolet Spark Life,$20.500.000,2012,143.000
Chevrolet Spark 1.2 Gt M300 Lt,$29.500.000,2014,133.000
Chevrolet Spark Gt Full Equipo ,$29.000.000,2015,162
Chevrolet Spark Iii Lite,$26.000.000,2016,105.000
Chevrolet Spark Gt Gt,$35.000.000,2017,122.040
Chevrolet Spark Gt Fulliada,$33.000.000,2017,92.079
Chevrolet Spark Gt Spark Gt,$34.000.000,2016,74.000
Chevrolet Spark 1.0 Life,$28.900.000,2017,67.000
Chevrolet Spark Cronos,$85.000.000,2012,85.000
Chevrolet Spark 1.0 Lt M200,$17.000.000,2007,114.000
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica,$36.000.000,2017,100.000
Chevrolet Spark 1.0 Go,$18.500.000,2008,153.000
Chevrolet Spark 1.2 Gt M300,$28.500.000,2012,122.000
Chevrolet Spark 1.0 Life,$20.000.000,2017,101.000
Chevrolet Spark Iii Life,$24.000.000,2018,63.000
Chevrolet Spark Gt Full Equipo,$27.500.000,2013,101.000
Chevrolet Spark 2011,$18.000.000,2012,150.000
Chevrolet Spark 1.0 Life,$25.000.000,2016,175.000
Chevrolet Spark GT 1.2 Ltz,$35.000.000,2018,80.000
Chevrolet Spark 1.0 Lt M200,$16.500.000,2007,123.000
Chevrolet Spark 1.0 Life,$22.000.000,2015,120.000
Chevrolet Spark 1.0 Life,$27.000.000,2016,80.000
Chevrolet Spark 1.0 Ls,$16.000.000,2006,270
Chevrolet Spark Gt ,$40.000.000,2018,97.000
Chevrolet Spark 1.0 7:24 Cronos,$17.000.000,2013,220.000
Chevrolet Spark 1.0 Life,$19.600.000,2015,87.000
Chevrolet Spark 1.0 7:24,$60.000.000,2005,1.000.128
Chevrolet Spark 1.0 Ls,$28.600.000,2019,53.300
Chevrolet Spark 1.2 Gt,$33.200.000,2016,95.000
Chevrolet Spark Go Mt 2010,$20.500.000,2010,170.534
Chevrolet Spark 1.2 Gt M300 Ltz,$30.900.000,2015,77.500
Chevrolet Spark Gt 1.2 Mt 2011,$24.000.000,2011,143.000
Chevrolet Spark 1.0 Go,$20.000.000,2011,104.300
Chevrolet Spark 1.0 Life Lujo,$22.900.000,2016,95.000
Chevrolet Spark  1000cc Mt Aa,$23.500.000,2016,35.000
Chevrolet Spark 1.2 Gt M300 Ltz,$23.900.000,2014,177.800
Chevrolet Spark Lt 2013,$18.900.000,2013,115.879
Chevrolet Spark Lt,$16.900.000,2007,117.700
Chevrolet Spark 1.2 Gt M300 Ltz,$33.500.000,2016,68.000
Chevrolet Spark 1.2 Gt Ltz,$34.900.000,2020,66.200
Chevrolet Spark 1.2 Gt Ltz,$32.900.000,2019,79.778
Chevrolet Spark 1.2 Gt M300 Ltz,$32.500.000,2016,84.000
Chevrolet Spark Gt Gt 1.2,$32.800.000,2017,55.000
Chevrolet Spark 1.0 Go,$21.150.000,2013,40.420
Chevrolet Spark 1.0 Life,$25.500.000,2019,102.621
Chevrolet Spark Iii Life,$14.000.000,2017,82.000
Chevrolet Spark 1.0 Life,$19.800.000,2015,90.000
Chevrolet Spark Gt Full,$29.600.000,2013,102.000
